Region_Name,Federal_District,Year,Migration_rate,Population,GRP_per_capita,Investment_per_capita,Unemployment_rate,Housing_price,Income_per_capita,Housing_construction_rate
Алтайский край,СФО,2001,-25.0,2631.1,23509.0,3200.132569840513,8.3,44219.0,1691.0,167.00239443578732
Алтайский край,СФО,2002,-17.0,2611.8,27991.2,3910.1212198593817,8.3,44219.0,2194.0,142.39221992495595
Алтайский край,СФО,2003,-67.0,2587.3,34295.8,5165.664461971286,8.3,44219.0,2901.0,162.25465168007773
Алтайский край,СФО,2004,-77.0,2555.7,44934.9,5989.044260651254,8.3,44219.0,3521.0,138.5526046011516
Алтайский край,СФО,2005,-78.0,2521.5,53812.4,8465.0,8.3,44219.0,4640.0,158.0
Алтайский край,СФО,2006,-70.0,2488.3,69852.0,11769.1,8.3,44219.0,6369.0,177.0710297568549
Алтайский край,СФО,2007,-43.0,2463.2,90759.9,17311.8,8.3,44219.0,7597.0,242.8509779197228
Алтайский край,СФО,2008,-32.0,2446.2,106019.5,22879.0,8.3,44219.0,9974.0,258.3209262434275
Алтайский край,СФО,2009,-13.0,2434.8,109088.7,18492.0,12.3,44219.0,9868.0,268.724354032734
Алтайский край,СФО,2010,-33.0,2424.1,124955.8,22516.0,8.8,44219.0,11029.0,272.0
Алтайский край,СФО,2011,-67.0,2407.1,137975.9,29208.8,8.5,44219.0,12526.972465579203,264.0
Алтайский край,СФО,2012,-69.0,2387.4,154560.6,35123.5,6.2,44219.0,13706.234870107366,269.0
Алтайский край,СФО,2013,-71.0,2368.7000000000003,175666.0,39930.7,8.327472709879482,44219.0,16069.622180503238,278.0
Алтайский край,СФО,2014,-58.0,2351.5,189679.2,42390.8,7.237982523701114,44219.0,18572.97716089494,316.0
Алтайский край,СФО,2015,-63.0,2334.2,209023.2,33646.6,8.044230159256745,44219.0,21276.51286990094,374.0
Алтайский край,СФО,2016,-73.0,2314.3,230047.1,32530.1,8.63018877399164,44219.0,21778.665789517272,318.0
Алтайский край,СФО,2017,-80.0,2290.6,238056.6,38349.0,6.942679903613295,44219.0,22788.44250059517,267.0
Алтайский край,СФО,2018,-78.0,2263.9,256081.7,47330.7,6.117587397358482,44219.0,23665.91040903507,335.7542147596887
Алтайский край,СФО,2019,-65.0,2237.1,280785.0,50409.4,5.86310174803185,47754.0,24935.228697897182,326.0
Алтайский край,СФО,2020,-59.0,2208.5,300706.5,55221.7,5.9590773994307344,53520.0,24980.57485040424,358.0
Алтайский край,СФО,2021,-62.0,2174.0,400038.7,57441.4,5.555951999909968,63856.0,27305.21028349057,433.0
Алтайский край,СФО,2022,-36.0,2143.0,433803.0,68168.0,3.789300677690684,76805.0,32901.0,431.0
Алтайский край,СФО,2023,-8.0,2123.1,482474.4,87444.0,3.423586843456399,90198.0,36431.0,445.0
Алтайский край,СФО,2024,-8.0,2123.1,482474.4,110578.0,3.423586843456399,90198.0,42745.0,415.0
Амурская область,ДФО,2001,-84.0,917.2,42578.3,15441.969843986786,5.4,56808.0,2313.0,110.88094199738336
Амурская область,ДФО,2002,-69.0,906.2,50449.6,15042.70421503834,5.4,56808.0,2875.0,125.35864047671592
Амурская область,ДФО,2003,-106.0,894.4,59480.3,20367.43465273096,5.4,56808.0,3867.0,116.27750969351932
Амурская область,ДФО,2004,-108.0,880.9,72937.0,25010.74458667753,5.4,56808.0,4749.0,90.92973095697582
Амурская область,ДФО,2005,-100.0,867.5,88597.1,27368.0,5.4,56808.0,5988.0,144.0
Амурская область,ДФО,2006,-85.0,855.8,111116.2,33479.3,5.4,56808.0,7419.0,161.95770169634918
Амурская область,ДФО,2007,-55.0,847.4,131887.8,53910.1,5.4,56808.0,9662.0,199.4345028770492
Амурская область,ДФО,2008,-42.0,841.6,156329.6,78490.0,5.4,56808.0,12297.0,219.70605255121623
Амурская область,ДФО,2009,-33.0,836.9,180572.3,78416.0,8.3,56808.0,13196.0,178.7577056400685
Амурская область,ДФО,2010,-60.0,831.8,214827.2,100858.0,6.9,56808.0,14323.0,200.0
Амурская область,ДФО,2011,-85.0,824.7,273332.2,143451.7,6.0,56808.0,17799.85939387178,292.0
Амурская область,ДФО,2012,-63.0,817.9,280484.7,138262.1,5.3,56808.0,21836.15724919865,387.0
Амурская область,ДФО,2013,-81.0,812.0,259501.7,125628.7,6.135733112217222,56808.0,23096.70658731801,447.0
Амурская область,ДФО,2014,-26.0,807.6,287327.6,94568.3,5.579089809708689,56808.0,25477.657122220506,424.0
Амурская область,ДФО,2015,-57.0,804.0,344986.8,127126.8,5.827026324443701,56808.0,28371.409346891665,323.0
Амурская область,ДФО,2016,-51.0,799.2,372300.0,162438.6,5.934375573874731,56808.0,28135.66700451719,275.0
Амурская область,ДФО,2017,-37.0,794.7,376452.8,242180.0,5.852652321234457,56808.0,29409.266734362016,227.0
Амурская область,ДФО,2018,-53.0,789.7,423176.6,318093.1,5.55056695231824,56808.0,31178.344521735384,199.67102659055124
Амурская область,ДФО,2019,-10.0,784.7,504185.5,434537.1,5.328197918613498,64938.0,33599.05955739979,259.0
Амурская область,ДФО,2020,-53.0,778.2,577387.2,463168.7,5.955742290001824,83996.0,35861.791535325734,199.0
Амурская область,ДФО,2021,-41.0,768.6,713306.9,536279.1,5.105008851857789,101433.0,40066.675361779584,291.0
Амурская область,ДФО,2022,-40.0,759.9,794282.4,642254.0,4.127233036432879,109475.0,49798.0,498.0
Амурская область,ДФО,2023,-32.0,753.1,1054056.2,989914.0,2.4246838938044704,125402.0,54055.0,659.0
Амурская область,ДФО,2024,-32.0,753.1,1054056.2,1272177.0,2.4246838938044704,125402.0,64343.0,674.0
Астраханская область,ЮФО,2001,4.0,1007.4,32037.2,15501.273085532488,7.4,35978.0,2333.0,492.75362318840575
Астраханская область,ЮФО,2002,38.0,1005.2,40786.8,13233.442573088274,7.4,35978.0,3058.0,518.2568898617053
Астраханская область,ЮФО,2003,47.0,1005.4,50386.3,17889.20229912266,7.4,35978.0,3839.0,578.9579949613449
Астраханская область,ЮФО,2004,31.0,1006.3,56357.5,19621.5728621109,7.4,35978.0,4530.0,626.6707742454809
Астраханская область,ЮФО,2005,-6.0,1004.5,69814.0,21545.0,7.4,35978.0,5636.0,645.0
Астраханская область,ЮФО,2006,11.0,1001.9,84950.0,29327.2,7.4,35978.0,7035.0,667.5263597056814
Астраханская область,ЮФО,2007,52.0,1003.6,99999.4,49790.4,7.4,35978.0,8639.0,722.6997263844687
Астраханская область,ЮФО,2008,34.0,1007.9,146391.0,67737.0,7.4,35978.0,11067.0,379.3985778506237
Астраханская область,ЮФО,2009,4.0,1010.5,133018.5,61308.0,9.9,35978.0,13012.0,471.4390469093727
Астраханская область,ЮФО,2010,-20.0,1010.5,143388.8,59243.0,8.2,35978.0,14697.0,495.0
Астраханская область,ЮФО,2011,5.0,1010.6,170798.2,68296.6,8.8,35978.0,16059.64023670669,498.0
Астраханская область,ЮФО,2012,-64.0,1009.5,207683.9,80897.1,7.9,35978.0,17876.038810433274,504.0
Астраханская область,ЮФО,2013,-28.0,1007.4,271899.3,121715.1,7.455676551320704,35978.0,20103.623509932782,586.0
Астраханская область,ЮФО,2014,-5.0,1008.3,293883.9,115895.7,7.456527571847994,35978.0,22210.89448407712,612.0
Астраханская область,ЮФО,2015,-75.0,1006.6,320199.0,112430.0,7.504270455107209,35978.0,24149.09670223627,564.0
Астраханская область,ЮФО,2016,-44.0,1002.7,367483.2,117678.4,7.668834013034924,35978.0,23205.43627527732,592.0
Астраханская область,ЮФО,2017,-48.0,999.4,442846.1,146738.6,7.460249161144349,35978.0,23312.80066115438,475.0
Астраханская область,ЮФО,2018,-64.0,994.2,582565.6,110918.4,7.511409795062214,35978.0,24285.153903148803,323.1967237322675
Астраханская область,ЮФО,2019,-109.0,985.5,610661.5,105813.8,7.65498701586397,38963.0,25590.00950779649,315.0
Астраханская область,ЮФО,2020,-84.0,974.5,541099.0,118130.8,7.946985442576007,45407.0,25912.247044577623,364.0
